Office Name,Office Type,Public Phone Number,Public Phone Extension,Street Address Line 1,Street Address Line 2,City,State,Zip Code,Monday Beginning Hours,Monday Ending Hours,Tuesday Beginning Hours,Tuesday Ending Hours,Wednesday Beginning Hours,Wednesday Ending Hours,Thursday Beginning Hours,Thursday Ending Hours,Friday Beginning Hours,Friday Ending Hours,Saturday Beginning Hours,Saturday Ending Hours,Georeference
ELIZABETHTOWN,COUNTY OFFICE,5188733620,,7559 COURT STREET,,ELIZABETHTOWN,NY,12932,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-73.59398 44.21451)
BROOME COUNTY MOBILE,MOBILE OFFICE,6077782337,,81 CHENANGO ST,(HEADQUARTERS),BINGHAMTON,NY,13905,9:00 AM,1:00 PM,9:00 AM,1:00 PM,9:00 AM,1:00 PM,10:00 AM,3:00 PM,9:00 AM,1:00 PM,,,POINT (-75.9099 42.10118)
DEPOSIT,COUNTY OFFICE,6074673208,,3 ELM STREET,,DEPOSIT,NY,13754,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,POINT (-75.42096 42.06179)
BUFFALO,COUNTY OFFICE,7168587450,,170 PEARL ST.,RATH BUILDING,BUFFALO,NY,14203,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,POINT (-78.72099 42.86241)
GENESEO,COUNTY OFFICE,5852437177,,6 COURT STREET,ROOM 204,GENESEO,NY,14454,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,5:45 PM,8:00 AM,3:45 PM,,,POINT (-77.81666 42.80049)
YONKERS,DISTRICT OFFICE,7184774820,,1 LARKIN PLAZA,,YONKERS,NY,10701,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.90211 40.93536)
BRONX REGISTRATION CENTER,DISTRICT OFFICE,7184774820,,696 EAST FORDHAM ROAD,,BRONX,NY,10458,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.88208 40.85744)
NORWICH,COUNTY OFFICE,6073371460,,5 COURT STREET,CHENANGO COUNTY BUILDING,NORWICH,NY,13815,8:30 AM,5:00 PM,8:30 AM,5:00 PM,8:30 AM,5:00 PM,8:30 AM,5:00 PM,8:30 AM,5:00 PM,,,POINT (-75.52506 42.53133)
POUGHKEEPSIE,COUNTY OFFICE,8454862130,,22 MARKET STREET,COUNTY OFFICE BUILDING,POUGHKEEPSIE,NY,12601,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-73.92947 41.70378)
WATERTOWN,COUNTY OFFICE,3157853023,,175 ARSENAL STREET,,WATERTOWN,NY,13601,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,,,POINT (-75.91354 43.97568)
BROOKLYN - CONEY ISLAND KIOSK,DISTRICT OFFICE,,,2875 W. 8TH STREET,,BROOKLYN,NY,11224,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.97631 40.57789)
ERIE COUNTY MOBILE,MOBILE OFFICE,7168587450,,2122 GEORGE URBAN BLVD,(HEADQUARTERS),DEPEW,NY,14043,,,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,,,,,POINT (-78.73327 42.91877)
MEDFORD,DISTRICT OFFICE,7184774820,,2799 ROUTE 112,SUITE 1,MEDFORD,NY,11763,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-72.99517 40.82677)
WAMPSVILLE,COUNTY OFFICE,3153662251,,138 NORTH COURT STREET,BUILDING 4,WAMPSILLE,NY,13163,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-75.70742 43.08024)
HARLEM KIOSK,DISTRICT OFFICE,,,159 EAST 125TH STREET,3RD FLOOR,NEW YORK,NY,10035,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.93649 40.80398)
LITTLE VALLEY,COUNTY OFFICE,7169382299,,303 COURT STREET,,LITTLE VALLEY,NY,14755,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,POINT (-78.80121 42.25179)
CATSKILL,COUNTY OFFICE,5187193280,,411 MAIN ST.,,CATSKILL,NY,12414,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-73.86583 42.22011)
WHITE PLAINS KIOSK,DISTRICT OFFICE,,,455 S BROADWAY,,TARRYTOWN,NY,10601,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.86207 41.06095)
NIAGARA FALLS,COUNTY OFFICE,7162781970,,1001 11TH STREET,,NIAGARA FALLS,NY,14301,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,POINT (-79.05097 43.09916)
PENN YAN,COUNTY OFFICE,3155365122,,417 LIBERTY STREET,SUITE 1067,PENN YAN,NY,14527,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,POINT (-77.05823 42.66394)
LYONS,COUNTY OFFICE,3159467490,,9 PEARL STREET,,LYONS,NY,14489,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-76.99326 43.06265)
SYRACUSE KIOSK,DISTRICT OFFICE,,,4671 ONONDAGA BLVD,WESTERN LIGHTS PLAZA,SYRACUSE,NY,13219,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-76.19374 43.03231)
HENRIETTA,COUNTY OFFICE,5857531604,,1225 JEFFERSON RD,SUITE A 26 A,ROCHESTER,NY,14623,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,6:30 PM,8:30 AM,4:30 PM,,,POINT (-77.60232 43.08717)
RICHMOND TVB,TRAFFIC VIOLATIONS BUREAU,7184885710,,1775 SOUTH AVENUE,WEST SHORE PLAZA,STATEN ISLAND,NY,10314,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-74.19306 40.60161)
MASSAPEQUA,DISTRICT OFFICE,7184774820,,927 CARMANS ROAD,CARMANS PLZ. SHOPPING CTR,MASSAPEQUA,NY,11758,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.43296 40.70128)
RIVERHEAD,DISTRICT OFFICE,7184774820,,200 OLD COUNTRY ROAD,,RIVERHEAD,NY,11901,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-72.65148 40.93655)
OSWEGO,COUNTY OFFICE,3153498300,,384 EAST RIVER ROAD,,OSWEGO,NY,13126,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,6:15 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-76.48238 43.43183)
ALBANY KIOSK,DISTRICT OFFICE,,,855 CENTRAL AVENUE,,ALBANY,NY,12206,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.78884 42.68113)
LAKE PLEASANT,COUNTY OFFICE,5185487111,,2679 ROUTE 8,,LAKE PLEASANT,NY,12108,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,POINT (-74.39538 43.47659)
BEACON,COUNTY OFFICE,8458384891,,223 MAIN STREET,,BEACON,NY,12508,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-73.97386 41.50697)
HAUPPAUGE KIOSK,DISTRICT OFFICE,,,250 VETERANS MEMORIAL HWY,,HAUPPAUGE,NY,11788,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.21884 40.82452)
OWEGO,COUNTY OFFICE,6076878250,,56 MAIN STREET,,OWEGO,NY,13827,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,POINT (-76.26691 42.10142)
MALONE,COUNTY OFFICE,5184811606,,355 WEST MAIN STREET,ROOM 107,MALONE,NY,12953,8:00 AM,3:30 PM,8:00 AM,3:30 PM,8:00 AM,3:30 PM,8:00 AM,3:30 PM,8:00 AM,3:30 PM,,,POINT (-74.29518 44.8488)
MONROE COUNTY WESTSIDE MOBILE UNITS,MOBILE OFFICE,5857531604,,1940 W. RIDGE RD.,(HEADQUARTERS),ROCHESTER,NY,14626,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,,,POINT (-77.67943 43.20814)
CANTON,COUNTY OFFICE,3153861408,,80 STATE HIGHWAY 310,SUITE 3,CANTON,NY,13617,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,POINT (-75.15065 44.60166)
DESTINY MALL KIOSK,DISTRICT OFFICE,,,9090 DESTINY USA DRIVE,,SYRACUSE,NY,13204,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,MALL HRS,POINT (-76.17107 43.06732)
WEST HAVERSTRAW,DISTRICT OFFICE,7184774820,,50 SAMSONDALE PLAZA,STATE ROUTE 9W,WEST HAVERSTRAW,NY,10993,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.984296 41.203954)
JOHNSTOWN,COUNTY OFFICE,5187365571,,223 WEST MAIN STREET,,JOHNSTOWN,NY,12095,9:00 AM,3:30 PM,9:00 AM,3:30 PM,9:00 AM,3:30 PM,9:00 AM,3:30 PM,9:00 AM,3:30 PM,,,POINT (-74.37491 43.00632)
BROOKLYN CHISHOLM SOB,MOBILE OFFICE,,,55 HANSON PL,S.A. CHISHOLM ST OFF BLDG,BROOKLYN,NY,11217,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,POINT (-73.97572 40.68535)
SARANAC LAKE,COUNTY OFFICE,5188911748,,39 MAIN STREET,SUITE 4,SARANAC LAKE,NY,12983,,,9:00 AM,2:00 PM,9:00 AM,2:00 PM,,,,,,,POINT (-74.13178 44.32536)
CORTLAND,COUNTY OFFICE,6077535023,,112 RIVER STREET,,CORTLAND,NY,13045,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-76.16121 42.59941)
MAYVILLE,COUNTY OFFICE,7167534229,,7 NORTH ERIE STREET,,MAYVILLE,NY,14757,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,5:45 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,POINT (-79.50612 42.25503)
IRONDEQUOIT,COUNTY OFFICE,5857531604,,545 TITUS AVENUE,,ROCHESTER,NY,14617,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,6:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-77.60182 43.2106)
MIDTOWN MANHATTAN,DISTRICT OFFICE,7189666155,,366 WEST 31ST STREET,,NEW YORK,NY,10001,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.99747 40.7514)
WATERLOO,COUNTY OFFICE,3155391775,,1 DI PRONIO DRIVE,,WATERLOO,NY,13165,8:45 AM,4:45 PM,8:45 AM,4:45 PM,8:45 AM,4:45 PM,8:45 AM,6:45 PM,8:45 AM,4:45 PM,,,POINT (-76.84404 42.90749)
BETHPAGE KIOSK,DISTRICT OFFICE,,,4031 HEMPSTEAD TURNPIKE,,BETHPAGE,NY,11714-560,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.48717 40.72531)
GENEVA,COUNTY OFFICE,5853964210,,83 SENECA STREET,,GENEVA,NY,14456,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-76.98407 42.86668)
SELDEN,MOBILE OFFICE,,,407 SELDEN RD,,SELDEN,NY,11784,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,
NORTH TONAWANDA,COUNTY OFFICE,7167434500,,500 WHEATFIELD STREET,,NORTH TONAWANDA,NY,14120,9:00 AM,4:30 PM,9:00 AM,6:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,POINT (-78.86548 43.03846)
PORT JERVIS,COUNTY OFFICE,,,20 HAMMOND STREET,,PORT JERVIS,NY,12771,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,,,POINT (-74.69114 41.37462)
LICENSE EXPRESS KIOSK,DISTRICT OFFICE,,,145 WEST 30TH STREET,,NEW YORK,NY,10001,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.99171 40.74816)
MIDDLETOWN,COUNTY OFFICE,8453461180,,12 KING STREET,,MIDDLETOWN,NY,10940,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,7:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,POINT (-74.42052 41.44578)
BRONX LICENSE CENTER KIOSK,DISTRICT OFFICE,,,1350 COMMERCE AVE,,BRONX,NY,10461,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.84058 40.83678)
RENSSELAER COUNTY MOBILE,MOBILE OFFICE,5182702600,,1600 SEVENTH AVENUE,(HEADQUARTERS),TROY,NY,12180,9:00 AM,3:00 PM,,,10:00 AM,2:00 PM,,,,,,,POINT (-73.68563 42.72858)
DUNKIRK,COUNTY OFFICE,7163660210,,3988 VINEYARD DRIVE,,DUNKIRK,NY,14048,8:30 AM,5:45 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,POINT (-79.32129 42.45837)
RIVERHEAD KIOSK,DISTRICT OFFICE,,,200 OLD COUNTRY ROAD,,RIVERHEAD,NY,11901,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-72.65148 40.93655)
LAKE GEORGE,COUNTY OFFICE,5187616438,,1340 STATE ROUTE 9,,LAKE GEORGE,NY,12845,8:15 AM,4:00 PM,8:15 AM,4:00 PM,8:15 AM,4:00 PM,8:15 AM,4:00 PM,8:15 AM,4:00 PM,,,POINT (-73.70137 43.3787)
QUEENS SOUTH T V B,TRAFFIC VIOLATIONS BUREAU,7184885710,,168-35 ROCKAWAY BOULEVARD,2ND FLOOR,JAMAICA,NY,11434,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-73.7713 40.65871)
NEWBURGH,COUNTY OFFICE,8455685230,,128 BROADWAY,,NEWBURGH,NY,12550,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,12:00 PM,7:30 PM,9:00 AM,4:30 PM,,,POINT (-74.0124 41.50009)
AUBURN,COUNTY OFFICE,3152531241,,160 GENESEE STREET,,AUBURN,NY,13021,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:00 PM,9:00 AM,4:30 PM,,,POINT (-76.56998 42.92986)
YONKERS EXPANSION,DISTRICT OFFICE,,,1 LARKIN PLAZA,,YONKERS,NY,10701,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.90211 40.93536)
CORNING,COUNTY OFFICE,6079367432,,77 VICTORY HIGHWAY,,PAINTED POST,NY,14830,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,POINT (-77.10047 42.16916)
DANSVILLE,COUNTY OFFICE,5853356700,,14 CLARA BARTON ST,NO. DANSVILLE TOWN HALL,DANSVILLE,NY,14437,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,,,POINT (-77.69544 42.55924)
TONAWANDA - SHERIDAN PLAZA,COUNTY OFFICE,7168587450,,2309 EGGERT RD,,TONAWANDA,NY,14150,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,7:00 AM,1:00 PM,POINT (-78.82601 42.98122)
ERIE COUNTY - EASTERN HILLS MALL,COUNTY OFFICE,7168587450,,4545 TRANSIT RD.,,WILLIAMSVILLE,NY,14221,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-78.6966 42.97193)
WEST HAVERSTRAW KIOSK,DISTRICT OFFICE,,,50 SAMSONDALE PLAZA,STATE ROUTE 9W,WEST HAVERSTRAW,NY,10993,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.984296 41.203954)
HUDSON,COUNTY OFFICE,5188283350,,560 WARREN STREET,,HUDSON,NY,12534,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,6:45 PM,9:00 AM,4:45 PM,,,POINT (-73.78465 42.24818)
BROOKLYN - ATLANTIC CENTER,DISTRICT OFFICE,7189666155,,625 ATLANTIC AVE 2ND FL,,BROOKLYN,NY,11217,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.9741 40.68311)
TROY,COUNTY OFFICE,5182702600,,1600 7TH AVENUE,,TROY,NY,12180,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,10:00 AM,6:00 PM,8:30 AM,4:15 PM,,,POINT (-73.68563 42.72858)
BROOKLYN NORTH T V B,TRAFFIC VIOLATIONS BUREAU,7184885710,,"625 ATLANTIC AVE, 2ND FL",ATLANTIC CENTER MALL,BROOKLYN,NY,11217,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-73.9741 40.68311)
ENDICOTT,COUNTY OFFICE,6077782337,,137 WASHINGTON AVENUE,,ENDICOTT,NY,13760,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,1:00 PM,POINT (-76.04805 42.10114)
HAUPPAUGE,DISTRICT OFFICE,7184774820,,250 VETERANS MEMORIAL HWY,,HAUPPAUGE,NY,11788,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.21884 40.82452)
PAWLING,COUNTY OFFICE,8458554400,,20 EAST MAIN ST,,PAWLING,NY,12564,,,9:00 AM,4:45 PM,,,9:00 AM,4:45 PM,,,,,POINT (-73.60055 41.56193)
CANANDAIGUA,COUNTY OFFICE,5853964210,,20 ONTARIO STREET,,CANANDAIGUA,NY,14424,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-77.28015 42.88842)
JOHNSTOWN,COUNTY OFFICE,5187365571,,223 WEST MAIN STREET,,JOHNSTOWN,NY,12095,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,POINT (-74.37491 43.00632)
BRONX LICENSE CENTER,DISTRICT OFFICE,7189666155,,1350 COMMERCE AVE,,BRONX,NY,10461,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.84058 40.83678)
GOSHEN,COUNTY OFFICE,8456153960,,255 MAIN STREET,ORANGE COUNTY GOV. CENTER,GOSHEN,NY,10924,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,POINT (-74.31913 41.40445)
SPRINGFIELD GARDENS KIOSK,DISTRICT OFFICE,,,168-35 ROCKAWAY BLVD,,JAMAICA,NY,11434,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.7713 40.65871)
FORT EDWARD,COUNTY OFFICE,5187462163,,383 BROADWAY,,FORT EDWARD,NY,12828,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,6:00 PM,8:30 AM,4:15 PM,,,POINT (-73.58661 43.28845)
MANHATTAN NORTH T V B,TRAFFIC VIOLATIONS BUREAU,7184885710,,159 EAST 125TH STREET,"GOTHAM PLAZA, 3RD FLOOR",NEW YORK,NY,10035,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-73.93649 40.80398)
WATKINS GLEN,COUNTY OFFICE,6075358131,,105 9TH STREET,,WATKINS GLEN,NY,14891,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,POINT (-76.87109 42.37745)
